polyline,x,y,z,acceptance_criteria,internal_diameter,wall_thickness,pipe_segment_length
2DKWS_segment-2,291220.4589,288794.8803,30.227,"Brick sewer, red/yellow brick",914,225,3.66
2DKWS_segment-2,291220.4589,288794.8803,30.6515,"Brick sewer, red/yellow brick",914,225,3.66
