polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
LON-01-20078_MWCC_UTI_70289_segment-1,291191.3043,288862.6823,34.53,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_70289_segment-1,291207.9875,288839.238,33.975,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_70289_segment-1,291224.8533,288807.8921,33.945,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_70289_segment-1,291234.3296,288766.8102,33.375,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_70289_segment-1,291240.1161,288746.1587,32.685,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_70289_segment-1,291243.889,288736.7558,32.685,Polyethylene,83.0,3.5,3.658
