polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0028_UKPN_LV_Streetlighting_286_segment-2,291211.3431,288815.0269,33.2452,Polyethylene,250.0,25.0,3.658
SCS-01-0028_UKPN_LV_Streetlighting_286_segment-2,291211.6677,288815.2535,33.2394,Polyethylene,250.0,25.0,3.658
SCS-01-0028_UKPN_LV_Streetlighting_286_segment-2,291211.7635,288816.5613,33.2895,Polyethylene,250.0,25.0,3.658
SCS-01-0028_UKPN_LV_Streetlighting_286_segment-2,291211.9541,288816.8731,33.3015,Polyethylene,250.0,25.0,3.658
