polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0045_UKPN_LV_Streetlighting_624_segment-1,291175.1003,288889.8509,34.222,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_624_segment-1,291175.1415,288889.7643,34.222,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_624_segment-1,291175.0013,288889.5095,34.1794,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_624_segment-1,291174.7101,288889.2659,34.0968,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_624_segment-1,291171.3895,288886.6721,34.0679,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_624_segment-1,291168.6065,288884.2805,34.0436,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_624_segment-1,291168.3591,288882.9737,34.0615,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_624_segment-1,291170.6855,288879.6137,33.9809,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_624_segment-1,291172.5503,288876.8047,33.9786,PE,250.0,25.0,3.658
