polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
LON-01-20078_MWCC_UTI_71079_segment-1,291020.7829,289022.5078,35.334,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291035.5535,289012.9579,35.39,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291064.3282,288995.9236,35.535,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291069.0721,288992.7727,35.535,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291075.9646,288987.4787,35.456,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291089.604,288975.3051,35.24,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291099.0143,288964.1471,35.12,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291104.9449,288957.9572,35.12,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291115.792,288947.2257,35.145,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291130.6678,288933.8392,35.145,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291153.1718,288914.1568,35.145,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291167.0676,288900.8445,35.05,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291180.8766,288881.6758,34.9,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291191.3136,288866.4524,34.855,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291205.3984,288847.2058,34.18,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291208.7279,288842.314,34.18,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291214.6713,288830.9894,34.07,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291216.3705,288828.0358,34.07,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71079_segment-1,291224.6862,288816.2152,34.05,Polyethylene,83.0,3.5,3.658
