polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
LON-01-20078_MWCC_UTI_71073_segment-2,291097.5021,289045.7381,34.225,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-2,291110.0984,289055.9623,34.145,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-2,291136.3505,289049.825,33.945,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-2,291147.6172,289038.9378,33.795,Polyethylene,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-2,291155.5,289030.435,33.695,Polyethylene,83.0,3.5,3.658
