polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0026_510890085_segment-7,291067.615,288980.2376,34.5,Polyethylene,180.0,12.0,3.658
SCS-01-0026_510890085_segment-7,291083.159,288967.8057,34.4,Polyethylene,180.0,12.0,3.658
SCS-01-0026_510890085_segment-7,291109.2943,288940.2007,34.4,Polyethylene,180.0,12.0,3.658
SCS-01-0026_510890085_segment-7,291146.3987,288906.6676,34.3,Polyethylene,180.0,12.0,3.658
SCS-01-0026_510890085_segment-7,291159.1692,288893.436,34.1,Polyethylene,180.0,12.0,3.658
SCS-01-0026_510890085_segment-7,291183.1784,288861.2614,33.5,Polyethylene,180.0,12.0,3.658
