polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
LON-01-20078_MWCC_UTI_71073_segment-1,290947.4532,289173.0416,32.805,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-1,290988.2594,289150.2602,33.785,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-1,290995.6689,289146.0326,33.785,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-1,291010.1636,289134.7543,34.265,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-1,291012.5655,289132.662,34.265,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-1,291018.3614,289124.2437,34.442,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-1,291022.8529,289120.13,34.442,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-1,291067.5259,289083.3618,34.225,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-1,291073.7305,289076.7046,34.225,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-1,291097.5021,289045.7381,34.225,PE,83.0,3.5,3.658
