polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0045_UKPN_LV_Streetlighting_655_segment-2,291247.820679,288844.661926,32.00821579,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_655_segment-2,291247.582886,288844.373474,32.02063627,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_655_segment-2,291235.963928,288837.006531,32.47773017,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_655_segment-2,291226.733704,288831.189087,32.84023025,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_655_segment-2,291224.048096,288829.760681,32.94129497,PE,250.0,25.0,3.658
