polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0028_UKPN_LV_Streetlighting_286_segment-1,291212.7997,288821.3331,33.3138,PE,250.0,25.0,3.658
SCS-01-0028_UKPN_LV_Streetlighting_286_segment-1,291212.5447,288821.0639,33.3147,PE,250.0,25.0,3.658
SCS-01-0028_UKPN_LV_Streetlighting_286_segment-1,291211.7647,288819.6807,33.2863,PE,250.0,25.0,3.658
SCS-01-0028_UKPN_LV_Streetlighting_286_segment-1,291211.4905,288818.3461,33.2752,PE,250.0,25.0,3.658
SCS-01-0028_UKPN_LV_Streetlighting_286_segment-1,291211.6069,288816.6305,33.2878,PE,250.0,25.0,3.658
SCS-01-0028_UKPN_LV_Streetlighting_286_segment-1,291211.5891,288815.3507,33.2612,PE,250.0,25.0,3.658
SCS-01-0028_UKPN_LV_Streetlighting_286_segment-1,291211.3431,288815.0269,33.2452,PE,250.0,25.0,3.658
