polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0047_UKPN_LV_265_segment-1,291208.6895,288822.7835,33.3013,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291209.5363,288820.4999,33.2448,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291210.4333,288817.7325,33.4216,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291211.0363,288815.8271,33.2913,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291211.4339,288815.0693,33.2755,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291211.9201,288813.8953,33.1907,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291213.7807,288808.2471,33.1391,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291215.1917,288802.7999,33.1344,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291216.3269,288798.0709,33.0877,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291217.4477,288793.4883,32.9848,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291218.2689,288789.4729,32.9046,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291218.9799,288786.0091,32.7903,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291219.7507,288782.3097,32.7289,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291220.6611,288778.1141,32.6903,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291222.8611,288769.0467,32.5599,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291223.9647,288764.1157,32.4969,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291225.0415,288758.6445,32.4464,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291225.7155,288756.2965,32.363,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291226.6597,288752.5765,32.3014,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291227.2285,288750.7197,32.258,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291228.1781,288749.3677,32.2172,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291229.1365,288747.3975,32.1915,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291231.0567,288742.1149,32.1321,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291232.1689,288738.9007,32.0116,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_265_segment-1,291233.8645,288733.6593,31.9839,PE,250.0,25.0,3.658
