polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0047_UKPN_LV_417_segment-1,291208.5973,288822.7443,33.2958,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_417_segment-1,291209.4419,288820.4671,33.2635,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_417_segment-1,291210.3381,288817.7019,33.4257,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_417_segment-1,291210.9435,288815.7885,33.3007,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_417_segment-1,291211.3431,288815.0269,33.2541,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_417_segment-1,291211.8263,288813.8605,33.1673,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_417_segment-1,291213.6847,288808.2189,33.1549,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_417_segment-1,291215.0945,288802.7759,33.1632,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_417_segment-1,291216.2297,288798.0473,33.0949,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_417_segment-1,291217.3501,288793.4663,32.985,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_417_segment-1,291218.1709,288789.4529,32.8964,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_417_segment-1,291218.8819,288785.9887,32.7972,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_417_segment-1,291219.6529,288782.2889,32.7447,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_417_segment-1,291220.5637,288778.0917,32.6908,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_417_segment-1,291222.7637,288769.0239,32.552,Polyethylene,250.0,25.0,3.658
