polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
LON-01-20096_MWCC_UTI_60501_segment-1,291057.096,288997.1388,35.4028,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291057.1442,288997.1074,35.4044,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291072.5165,288987.5059,35.385,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291073.379,288986.85,35.3876,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291119.4493,288939.0026,35.1519,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291143.2128,288918.8837,35.0896,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291167.5297,288894.4512,34.9553,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291194.665,288856.8021,34.3508,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291208.7553,288836.6914,33.9845,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291215.4161,288822.3161,34.0045,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291216.9107,288820.2921,33.995,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291217.4778,288819.5542,33.9656,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291217.5882,288819.4211,33.97,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291217.7473,288819.3117,33.9764,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291217.9727,288819.2485,33.9852,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291218.1431,288819.2598,33.9893,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291218.2348,288819.3554,33.9888,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291221.1518,288827.8567,33.99,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291264.1342,288855.0773,32.283622,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291277.903,288857.4535,31.815,Polyethylene,5.0,42.5,3.658
LON-01-20096_MWCC_UTI_60501_segment-1,291338.3457,288895.0101,29.2573,Polyethylene,5.0,42.5,3.658
