polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
LON-01-20078_MWCC_UTI_70896_segment-1,291208.1202,288821.8022,34.435,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_70896_segment-1,291212.4553,288811.0237,33.975,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_70896_segment-1,291214.0572,288805.2028,33.93,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_70896_segment-1,291220.0747,288781.0699,33.555,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_70896_segment-1,291221.1927,288776.136,33.545,PE,83.0,3.5,3.658
