polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
LON-01-20078_MWCC_UTI_70288_segment-1,291206.5144,288826.4901,34.175,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_70288_segment-1,291211.6988,288817.0541,34.105,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_70288_segment-1,291213.1082,288810.4826,33.95,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_70288_segment-1,291225.7903,288756.1328,33.145,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_70288_segment-1,291226.5418,288753.6148,33.145,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_70288_segment-1,291243.9182,288707.2443,32.334,PE,83.0,3.5,3.658
