polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
LON-01-20078_MWCC_UTI_71073_segment-4,291166.6444,289038.0568,33.695,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-4,291181.4904,289017.7151,32.445,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-4,291280.9549,288872.275,31.445,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-4,291288.4308,288870.8698,31.345,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71073_segment-4,291315.463,288886.9129,29.945,PE,83.0,3.5,3.658
