polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
LON-01-20690A_MWCC_UTI_70216_segment-4,291055.6163,289072.8695,30.43,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291055.0557,289070.4959,25.58,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291056.8947,289066.9075,23.67,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291058.7337,289063.3191,23.709999,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291060.5727,289059.7307,23.709999,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291062.4117,289056.1423,23.700001,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291071.5345,289041.4169,23.74,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291081.0619,289026.0727,23.74,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291090.5895,289010.7285,23.82,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291100.1169,288995.3843,23.799999,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291108.4151,288982.6491,23.77,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291115.9961,288971.4357,23.73,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291123.5771,288960.2225,23.66,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291131.1583,288949.0091,23.639999,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291138.8789,288938.7185,23.6,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291146.9017,288930.4273,23.549999,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291154.9247,288922.1357,23.549999,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291162.9477,288913.8445,23.709999,Polyethylene,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-4,291170.9707,288905.5533,23.73,Polyethylene,90.0,8.2,3.658
