polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0047_UKPN_LV_1764_segment-1,291122.3161,288927.6043,34.486,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291125.3369,288924.8951,34.4505,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291129.5209,288921.2129,34.4083,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291133.6045,288918.0177,34.3359,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291137.3885,288914.8951,34.3729,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291140.8387,288911.6559,34.3415,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291145.2033,288907.6673,34.385,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291146.7207,288906.2277,34.3779,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291148.3521,288904.7369,34.3802,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291152.0371,288901.4083,34.3317,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291155.6833,288897.9327,34.245,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291159.1621,288894.2779,34.2048,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291161.6869,288891.1383,34.1455,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291164.5205,288887.7953,34.158,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291167.7017,288883.3623,34.0637,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291170.6183,288879.3857,33.9661,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291172.5265,288876.6829,33.9765,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291174.7379,288873.2831,33.9646,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291179.3245,288866.4053,33.9167,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291182.2507,288862.4149,33.8527,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291185.1175,288858.8209,33.7783,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291187.8207,288855.1917,33.7409,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291192.3883,288849.0919,33.6129,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291194.5313,288845.9951,33.6154,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291196.4717,288842.9341,33.555,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291198.4263,288839.7895,33.5414,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291200.3279,288836.8895,33.515,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291202.9595,288832.4557,33.5126,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291205.0947,288828.8605,33.4096,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291207.1145,288825.8995,33.327,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1764_segment-1,291208.3553,288823.5151,33.2954,PE,250.0,25.0,3.658
