polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0045_UKPN_LV_Streetlighting_742_segment-1,291228.8625,288787.8605,32.7489,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_742_segment-1,291228.8199,288787.8097,32.7489,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_742_segment-1,291228.2151,288787.7357,32.6542,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_742_segment-1,291223.3245,288786.7361,32.6689,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_742_segment-1,291220.0755,288786.0125,32.6645,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_742_segment-1,291219.2871,288785.8763,32.7566,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_742_segment-1,291218.8819,288785.9887,32.7863,PE,250.0,25.0,3.658
