polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0045_UKPN_LV_Streetlighting_92_segment-2,291204.3181,288849.3369,32.325,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_92_segment-2,291203.6725,288848.7721,33.3061,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_92_segment-2,291201.8793,288847.6437,33.3135,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_92_segment-2,291199.1641,288845.9385,33.3794,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_92_segment-2,291197.2425,288844.5039,33.4118,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_92_segment-2,291196.6873,288843.5757,33.5511,PE,250.0,25.0,3.658
SCS-01-0045_UKPN_LV_Streetlighting_92_segment-2,291196.3869,288842.8809,33.5453,PE,250.0,25.0,3.658
