polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0047_UKPN_LV_399_segment-1,291294.1007,288860.0479,30.224,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_399_segment-1,291294.1267,288859.5119,30.2279,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_399_segment-1,291293.8437,288859.0613,30.245,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_399_segment-1,291293.0595,288858.4861,30.2893,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_399_segment-1,291289.9441,288857.0201,30.3449,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_399_segment-1,291284.4839,288853.5185,30.4107,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_399_segment-1,291283.0315,288852.6221,30.4191,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_399_segment-1,291279.5783,288852.2023,30.7244,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_399_segment-1,291277.9237,288851.6395,30.7353,Polyethylene,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_399_segment-1,291225.7603,288818.2077,31.0155,Polyethylene,250.0,25.0,3.658
