polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0028_UKPN_LV_Streetlighting_498_segment-1,291216.3395,288828.5433,33.4059,PE,250.0,25.0,3.658
SCS-01-0028_UKPN_LV_Streetlighting_498_segment-1,291216.3383,288828.4759,33.4059,PE,250.0,25.0,3.658
SCS-01-0028_UKPN_LV_Streetlighting_498_segment-1,291216.3691,288828.3883,33.4027,PE,250.0,25.0,3.658
SCS-01-0028_UKPN_LV_Streetlighting_498_segment-1,291216.6617,288827.8385,33.4031,PE,250.0,25.0,3.658
SCS-01-0028_UKPN_LV_Streetlighting_498_segment-1,291217.7713,288826.4163,33.2779,PE,250.0,25.0,3.658
SCS-01-0028_UKPN_LV_Streetlighting_498_segment-1,291218.4767,288825.7439,33.199,PE,250.0,25.0,3.658
SCS-01-0028_UKPN_LV_Streetlighting_498_segment-1,291219.0705,288825.6385,33.1803,PE,250.0,25.0,3.658
SCS-01-0028_UKPN_LV_Streetlighting_498_segment-1,291220.2621,288825.7683,33.085,PE,250.0,25.0,3.658
