polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0047_UKPN_LV_1950_segment-1,291208.7493,288822.8089,33.295,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1950_segment-1,291209.9037,288820.7309,33.2414,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1950_segment-1,291211.2021,288818.0337,33.3265,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1950_segment-1,291212.7803,288816.6795,33.2714,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1950_segment-1,291214.0447,288816.3611,33.1297,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1950_segment-1,291217.4589,288816.4729,33.1427,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1950_segment-1,291220.5955,288816.8899,33.1648,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1950_segment-1,291223.2379,288817.1799,33.0945,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1950_segment-1,291224.6885,288817.5821,33.1247,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1950_segment-1,291225.7603,288818.2077,32.7993,PE,250.0,25.0,3.658
